//Title; Authors;Year;File
Proceedings of the Second International Scientific Conference éˆ¥æ•šntelligent Information Technologies for Industryéˆ¥?(IITIéˆ¥?7);Ajith AbrahamSergey KovalevValery TarassovVaclav SnaselMargreta VasilevaAndrey Sukhanov;2003;978-3-319-68324-9.pdf
Unified Strength Theory and Its Applications;Prof. Mao-Hong Yu;2009;978-981-10-6247-6.pdf
Lecture Notes in Real-Time Intelligent Systems;Jolanta Mizera-PietraszkoPit Pichappan;2006;978-3-319-60744-3.pdf
Continuous Fuzzy Evaluation Methods: A Novel Tool for the Analysis and Decision Making in Football (or Soccer) Matches;Ranjit Biswas;2007;978-3-319-70751-8.pdf
Personal Assistants: Emerging Computational Technologies;Dr. Angelo CostaVicente JulianDr. Paulo Novais;2001;978-3-319-62530-0.pdf
Soil Dynamics and Foundation Modeling;Prof. Dr. Junbo Jia;2004;978-3-319-40358-8.pdf
Constraint Programming and Decision Making: Theory and Applications;Martine CeberioVladik Kreinovich;2009;978-3-319-61753-4.pdf
Towards Analytical Techniques for Optimizing Knowledge Acquisition, Processing, Propagation, and Use in Cyberinfrastructure and Big Data;Dr. L. Octavio LermaProf. Vladik Kreinovich;2008;978-3-319-61349-9.pdf
Recent Advances in Technology Research and Education;Dumitru LucaLucel SirghiClaudiu Costin;2006;978-3-319-67459-9.pdf
Body Sensors and Electrocardiography;Roman TrobecIvan Tomaæ‹§iè†°Aleksandra RashkovskaMatjaå•ª DepolliViktor Avbelj;2003;978-3-319-59340-1.pdf
Guide to Big Data Applications;S. Srinivasan;2008;978-3-319-53817-4.pdf
Pipe Inspection Robots for Structural Health and Condition Monitoring;Prof. Harutoshi OgaiProf. Bishakh Bhattacharya;2004;978-81-322-3751-8.pdf
Acoustics-A Textbook for Engineers and Physicists;Jerry H. Ginsberg;2007;978-3-319-56844-7.pdf
Advances in Smart Vehicular Technology, Transportation, Communication and Applications;Prof. Dr. Jeng-Shyang PanDr. Tsu-Yang WuProf. Dr. Yong ZhaoProf. Dr. Lakhmi C. Jain;2002;978-3-319-70730-3.pdf
Critical Infrastructures, Key Resources, Key Assets;Prof. Dr. Adrian V. GheorgheProf. Dr. Dan V. VamanuPolinpapilinho F. KatinaDr. Roland Pulfer;2007;978-3-319-69224-1.pdf
Proceedings of the Eighth International Conference on Soft Computing and Pattern Recognition (SoCPaR 2016);Ajith AbrahamAswani Kumar CherukuriAna Maria MadureiraAzah Kamilah Muda;2000;978-3-319-60618-7.pdf
System Dependability Evaluation Including S-dependency and Uncertainty;Univ.-Prof. Dr. Hans-Dieter Kochs;2009;978-3-319-64991-7.pdf
Advances in Fuzzy Logic and Technology 2017;Prof. Dr. Janusz KacprzykProf. Eulalia SzmidtSè‰‚awomir Zadroå¶nyKrassimir T. AtanassovProf. Maciej Krawczak;2005;978-3-319-66830-7.pdf
Development of a Fully Integrated éˆ¥æ•ªample-In-Answer-Outéˆ¥?System for Automatic Genetic Analysis;Bin Zhuang;2009;978-981-10-4753-4.pdf
Smart Camera Design;Dr. Marilyn Wolf;2000;978-3-319-69523-5.pdf
Advances in Communication of Design;Amic G. Ho;2001;978-3-319-60477-0.pdf
Advanced Solutions of Transport Systems for Growing Mobility;Grzegorz Sierpiè‰…ski;2002;978-3-319-62316-0.pdf
Supporting University Ventures in Nanotechnology, Biomaterials and Magnetic Sensing Applications;Julian Peå¸½a DopazoFatima Zivic;2006;978-3-319-61237-9.pdf
Active System Control;Prof. Igor SchagaevBrian Robinson Kirk;2000;978-3-319-46813-6.pdf
Complexity and Synergetics;Stefan C. Mçœ‰llerPeter J. PlathGçœ‰nter RadonsArmin Fuchs;2006;978-3-319-64334-2.pdf
Advances in Intelligent Information Hiding and Multimedia Signal Processing;Dr. Jeng-Shyang PanProf. Dr. Pei-Wei TsaiProf. Dr. Junzo WatadaProf. Dr. Lakhmi C. Jain;2005;978-3-319-63859-1.pdf
Carbon;Dr. Tapan Gupta;2005;978-3-319-66405-7.pdf
A First Introduction to the Finite Element Analysis Program MSC Marc/Mentat;Prof. Dr. Andreas è„°chsnerMarco è„°chsner;2007;978-3-319-71915-3.pdf
New Hybrid Intelligent Systems for Diagnosis and Risk Evaluation of Arterial Hypertension;Patricia MelinGerman Prado-Arechiga;2006;978-3-319-61149-5.pdf
Advances in Ergonomics of Manufacturing: Managing the Enterprise of the Future;Stefan Trzcielinski;2002;978-3-319-60474-9.pdf
Advanced Concepts, Methodologies and Technologies for Transportation and Logistics;Jacek å‘•akYuval HadasRiccardo Rossi;2007;978-3-319-57105-8.pdf
Field and Service Robotics;Prof. Dr. Marco HutterRoland Siegwart;2007;978-3-319-67361-5.pdf
Advances in Computational Intelligence Systems;Fei ChaoSteven SchockaertQingfu Zhang;2003;978-3-319-66939-7.pdf
Fog Computing in the Internet of Things;Amir M. RahmaniPasi LiljebergJçœ‰rgo-Sæžšren PredenAxel Jantsch;2007;978-3-319-57639-8.pdf
Soft Computing Applications for Group Decision-making and Consensus Modeling;Mikael CollanJanusz Kacprzyk;2003;978-3-319-60207-3.pdf
Dynamics of Mechanical Systems with Non-Ideal Excitation;Livija CveticaninMiodrag ZukovicJose Manoel Balthazar;2002;978-3-319-54169-3.pdf
Advances in Culturally-Aware Intelligent Systems and in Cross-Cultural Psychological Studies;Colette Faucher;2009;978-3-319-67024-9.pdf
Context-Aware Communication and Computing: Applications for Smart Environment;Punnarumol TemdeeRamjee Prasad;2007;978-3-319-59035-6.pdf
Asymptotical Mechanics of Composites;Prof. Dr. Igor V. AndrianovProf. Dr. Jan AwrejcewiczProf. Dr. Vladyslav V. Danishevskyy;2009;978-3-319-65786-8.pdf
Surface Finishing Theory and New Technology;Prof. Dr. Shengqiang YangProf. Dr. Wenhui Li;2005;978-3-662-54133-3.pdf
Soft Computing Applications;Prof. Valentina Emilia BalasProf. Lakhmi C. JainProf. Marius Mircea Balas;2000;978-3-319-62524-9.pdf
Aperture Antennas for Millimeter and Sub-Millimeter Wave Applications;Dr. Artem BoriskinProf. Ronan Sauleau;2007;978-3-319-62773-1.pdf
From Bench to Boardroom;Clifford L. Spiro;2005;978-3-319-64155-3.pdf
Ferroic Functional Materials;Prof. Dr. Jæžšrg SchræžšderProf. Dr. Doru C. Lupascu;2001;978-3-319-68883-1.pdf
Proton Exchange Membrane Fuel Cells;Alhussein AlbarbarMohmad Alrweq;2003;978-3-319-70727-3.pdf
Advances in Design for Inclusion;Giuseppe Di BucchianicoPete F Kercher;2008;978-3-319-60597-5.pdf
Biomedical Technology;Prof. Peter WriggersProf. Thomas Lenarz;2008;978-3-319-59548-1.pdf
EVOLVE - A Bridge between Probability, Set Oriented Numerics, and Evolutionary Computation VI;Dr. Alexandru-Adrian TantarDr. Emilia TantarDr. Michael EmmerichDr. Pierrick LegrandDr. Lenuta AlboaieProf. Henri Luchian;2006;978-3-319-69710-9.pdf
Multiscale Modeling of Heterogeneous Structures;Prof. Jurica Soriè†°Prof. Peter WriggersProf. Olivier Allix;2001;978-3-319-65463-8.pdf
Advances in Fuzzy Logic and Technology 2017;Prof. Dr. Janusz KacprzykProf. Eulalia SzmidtSlawomir Zadroå¶nyKrassimir T. AtanassovProf. Maciej Krawczak;2002;978-3-319-66827-7.pdf
Proceedings of Fatigue, Durability and Fracture Mechanics;Prof. Dr. S. SeetharamuProf. Dr. K. Bhanu Sankara RaoDr. Raghunath Wasudev Khare;2008;978-981-10-6002-1.pdf
Internet of Everything;Prof. Dr. Beniamino Di MartinoProf. Kuan-Ching LiProf. Dr. Laurence T. YangAntonio Esposito;2009;978-981-10-5861-5.pdf
Advanced Computing in Industrial Mathematics;Dr. Krassimir GeorgievProf. Dr. Michail TodorovIvan Georgiev;2006;978-3-319-65530-7.pdf
Interface Fracture and Delaminations in Composite Materials;Leslie Banks-Sills;2006;978-3-319-60327-8.pdf
Viscoelastic Properties of Asphalts Based on Penetration and Softening Point;Prof. Dr. Boris RadovskiyProf. Dr. Bagdat Teltayev;2009;978-3-319-67214-4.pdf
Telecommunication 4.0;Zhengmao Li;2008;978-981-10-6301-5.pdf
UR:BAN Human Factors in Traffic;Klaus BenglerJulia Drçœ‰keSilja HoffmannDietrich ManstettenAlexandra Neukum;2006;978-3-658-15418-9.pdf
Recent Advances in Computational Optimization;Stefka Fidanova;2000;978-3-319-59861-1.pdf
Advances in Biomedical Informatics;Dr. Dawn E. HolmesProf. Lakhmi C. Jain;2001;978-3-319-67513-8.pdf
Report of the Workshop Predictive Theoretical, Computational and Experimental Approaches for Additive Manufacturing (WAM 2016);Prof. Dr. Xu GuoProf. Gengdong ChengProf. Dr. Wing-Kam Liu;2001;978-3-319-63670-2.pdf
Formal System Verification;Rolf Drechsler;2007;978-3-319-57685-5.pdf
Population-Based Approaches to the Resource-Constrained and Discrete-Continuous Scheduling;Ewa Ratajczak-RopelAleksander Skakovski;2005;978-3-319-62893-6.pdf
Computer Vision in Control Systems-4;Prof. Margarita N. FavorskayaProf. Lakhmi C. Jain;2005;978-3-319-67994-5.pdf
High Tech Concrete: Where Technology and Engineering Meet;D.A. HordijkM. Lukoviè†°;2002;978-3-319-59471-2.pdf
Proceedings of 2017 Chinese Intelligent Automation Conference;Zhidong Deng;2005;978-981-10-6445-6.pdf
Recent Advances in Nonlinear Dynamics and Synchronization;Kyandoghere KyamakyaWolfgang MathisProf. Dr. Ruedi StoopJean Chamberlain ChedjouProf. Dr. Zhong Li;2001;978-3-319-58996-1.pdf
Wooden Domes;Ph.D. Barbara Misztal;2005;978-3-319-65741-7.pdf
Precision Medicine Powered by pHealth and Connected Health;Prof. Dr. Nicos MaglaverasDr. Ioanna ChouvardaProf. Dr. Paulo de Carvalho;2001;978-981-10-7419-6.pdf
Physical Layer Security in Wireless Cooperative Networks;Li Wang;2003;978-3-319-61863-0.pdf
Networking Communication and Data Knowledge Engineering;Prof. Gregorio Martinez PerezDr. Krishn K. MishraProf. Shailesh TiwariDr. Munesh C. Trivedi;2005;978-981-10-4585-1.pdf
Computer and Network Security Essentials;Kevin Daimi;2008;978-3-319-58424-9.pdf
Concurrency Control in Distributed System Using Mutual Exclusion;Prof. Sukhendu KanrarDr. Nabendu ChakiDr. Samiran Chattopadhyay;2007;978-981-10-5559-1.pdf
Transactions on Intelligent Welding Manufacturing;Shanben ChenYuming ZhangZhili Feng;2009;978-981-10-7043-3.pdf
Fracture Mechanics;Prof. Dr. Dietmar GrossProf. Dr. Thomas Seelig;2004;978-3-319-71090-7.pdf
Acoustics of Bangla Speech Sounds;Asoke Kumar Datta;2005;978-981-10-4262-1.pdf
The World of Applied Electromagnetics;Akhlesh LakhtakiaCynthia M. Furse;2002;978-3-319-58403-4.pdf
Physics of Semiconductor Devices;Prof. Massimo Rudan;2006;978-3-319-63154-7.pdf
Mechanics of Additive and Advanced Manufacturing, Volume 9;Prof. Junlan WangDr. Bonnie AntounDr. Eric BrownWeinong ChenProf. Ioannis ChasiotisEmily Huskins-RetzlaffDr. Sharlotte KramerDr. Piyush R. Thakre;2001;978-3-319-62834-9.pdf
MEMS Lorentz Force Magnetometers;Cesare Buffa;2006;978-3-319-59412-5.pdf
Intelligent Systems in Production Engineering and Maintenance éˆ¥?ISPEM 2017;Anna BurdukDariusz Mazurkiewicz;2009;978-3-319-64465-3.pdf
LabVIEW based Automation Guide for Microwave Measurements;Dr. Satya Kesh DubeyNaina NarangP. S. NegiDr. V. N. Ojha;2003;978-981-10-6280-3.pdf
Strengthening and Retrofitting of Existing Structures;Prof. Ané“†bal CostaProf. Antè´¸nio Aré”šdeProf. Humberto Varum;2003;978-981-10-5858-5.pdf
Gesture Recognition;Amit KonarSriparna Saha;2002;978-3-319-62212-5.pdf
Observer-Based Fault Estimation Techniques;Dr. Ke ZhangProf. Bin JiangProf. Peng ShiProf. Vincent Cocquempot;2009;978-3-319-67492-6.pdf
Emotional Engineering, Vol. 6;Prof. Shuichi Fukuda;2005;978-3-319-70802-7.pdf
Sensors;Prof. Bruno Andè²ŒDr. Francesco BaldiniProf. Corrado Di NataleProf. Giovanna MarrazzaDr. Pietro Siciliano;2005;978-3-319-55077-0.pdf
Recent Developments and Achievements in Biocybernetics and Biomedical Engineering;Prof. Piotr AugustyniakProf. Roman ManiewskiProf. Ryszard Tadeusiewicz;2009;978-3-319-66905-2.pdf
Flow Visualization in Materials Processing;Prof. Dr. Tomomasa UemuraDr. Yoshiaki UedaManabu Iguchi;2006;978-4-431-56567-3.pdf
Evolutionary Algorithms, Swarm Dynamics and Complex Networks;Ivan ZelinkaProf. Guanrong Chen;2001;978-3-662-55663-4.pdf
Humanizing Digital Reality;Prof. Klaas De RyckeProf. Dr. Christoph GengnagelOlivier BaverelProf. Jane BurryDr. Caitlin MuellerDr. Minh Man NguyenPhilippe RahmProf. Mette Ramsgaard Thomsen;2005;978-981-10-6611-5.pdf
Soft Computing Based Optimization and Decision Models;David A. PeltaCarlos Cruz Corona;2008;978-3-319-64286-4.pdf
Progress in Intelligent Computing Techniques: Theory, Practice, and Applications;Pankaj Kumar SaManmath Narayan SahooM. MurugappanYulei WuBanshidhar Majhi;2009;978-981-10-3373-5.pdf
Spectrum Sharing Between Radars and Communication Systems;Awais KhawarAhmed AbdelhadiT. Charles Clancy;2001;978-3-319-56684-9.pdf
Applied Computing & Information Technology;Roger Lee;2002;978-3-319-64051-8.pdf
Re-activation of Vacant Retail Spaces;Prof. Luca Tamini;2004;978-3-319-70872-0.pdf
A Journey Around the Different Scales Involved in the Description of Matter and Complex Systems;Francisco ChinestaDr. Emmanuelle Abisset-Chavanne;2006;978-3-319-70001-4.pdf
Application-Specific Hardware Architecture Design with VHDL;Dr. Bogdan Belean;2009;978-3-319-65025-8.pdf
High-Resolution and High-Speed Integrated CMOS AD Converters for Low-Power Applications;Weitao LiFule LiProf. Zhihua Wang;2007;978-3-319-62012-1.pdf
6th International Conference on the Development of Biomedical Engineering in Vietnam (BME6);Prof. Toi Vo VanDr. Thanh An Nguyen LeDr. Thang Nguyen Duc;2003;978-981-10-4361-1.pdf
Advanced Microsystems for Automotive Applications 2017;Dr. Carolin Zachç›²usDr. Beate Mçœ‰llerDr. Gereon Meyer;2002;978-3-319-66972-4.pdf
Advanced Maintenance Modelling for Asset Management;Adolfo Crespo Mè°©rquezVicente Gonzè°©lez-Prida Dé“†azJuanè½Francisco Gè´¸mez Fernè°©ndez;2000;978-3-319-58045-6.pdf
Advances in Safety Management and Human Factors;Pedro Arezes;2006;978-3-319-60525-8.pdf
Advances in Data Analysis with Computational Intelligence Methods;Adam E Gawè‡‹daJanusz KacprzykLeszek RutkowskiGary G. Yen;2004;978-3-319-67946-4.pdf
Understanding Digital Signal Processing;Orhan Gazi;2001;978-981-10-4962-0.pdf
Advances in Direct Methods for Materials and Structures;Olga BarreraAlan CocksAlan Ponter;2003;978-3-319-59810-9.pdf
Advances in Human Factors in Robots and Unmanned Systems;Jessie Chen;2007;978-3-319-60384-1.pdf
Design and Evaluation of Plasmonic/Magnetic Au-MFe2O4 (M-Fe/Co/Mn) Core-Shell Nanoparticles Functionalized with Doxorubicin for Cancer Therapeutics;Dr. Ravichandran Manisekaran;2008;978-3-319-67609-8.pdf
Image Processing and Communications Challenges 9;Prof. Michaè‰‚ Choraè‰£Prof. Ryszard S. Choraè‰£;2009;978-3-319-68720-9.pdf
Lamb-Wave Based Structural Health Monitoring in Polymer Composites;Prof. Dr. Rolf LammeringProf. Dr. Ulrich GabbertProf. Dr. Michael SinapiusProf. Dr. Thomas SchusterDr. Peter Wierach;2000;978-3-319-49715-0.pdf
Proceedings of the 2nd Workshop on Communication Security;Prof. Marco BaldiDr. Elizabeth A. QuagliaProf. Stefano Tomasin;2000;978-3-319-59265-7.pdf
Strategies and Techniques for Quality and Flexibility;Dr. Miryam Barad;2009;978-3-319-68400-0.pdf
Resilience by Teaming in Supply Chains and Networks;Rodrigo Reyes Levalle;2008;978-3-319-58323-5.pdf
Women in Security;Dr. Debra A. Christofferson;2002;978-3-319-57795-1.pdf
Recent Advances and Future Prospects in Knowledge, Information and Creativity Support Systems;Thanaruk TheeramunkongProf. Andrzej M.J. SkulimowskiProf. Takaya YuizonoDr. Susumu Kunifuji;2001;978-3-319-70019-9.pdf
The Rotating Beam Problem in Helicopter Dynamics;Prof. Ranjan GanguliVijay Panchore;2007;978-981-10-6098-4.pdf
Problems & Solutions in Inventory Management;Dinesh ShenoyRoberto Rosas;2007;978-3-319-65696-0.pdf
International Joint Conference SOCOéˆ¥?7-CISISéˆ¥?7-ICEUTEéˆ¥?7 Leè´¸n, Spain, September 6éˆ¥?, 2017, Proceeding;Hilde PèŒ…rez Garcé“†aJavier Alfonso-Cendè´¸nLidia Sè°©nchez Gonzè°©lezHèŒ…ctor Quintiè°©nEmilio Corchado;2009;978-3-319-67180-2.pdf
Research on Chemical Mechanical Polishing Mechanism of Novel Diffusion Barrier Ru for Cu Interconnect;Jie Cheng;2003;978-981-10-6165-3.pdf
Advances in Intelligent Systems and Interactive Applications;Fatos XhafaProf. Srikanta PatnaikAlbert Y. Zomaya;2008;978-3-319-69096-4.pdf
Active Fault-Tolerant Control Systems;Tushar JainJoseph J. YamèŒ…Dominique Sauter;2006;978-3-319-68829-9.pdf
Mechanics of Composite and Multi-functional Materials, Volume 6;Dr. Piyush R ThakreDr. Raman SinghGeoff Slipher;2004;978-3-319-63408-1.pdf
Energy Harvesting for Self-Powered Wearable Devices;Mohammad AlhawariBaker MohammadHani SalehMohammed Ismail;2000;978-3-319-62578-2.pdf
Manéˆ¥æ—achineéˆ¥æˆnvironment System Engineering;Shengzhao LongProf. Balbir S. Dhillon;2006;978-981-10-6232-2.pdf
Variety of Development;Dr. Qiushi Feng;2001;978-981-10-5912-4.pdf
Information and Communication Technology;Dr. Durgesh Kumar MishraDr. Ahmad Taher AzarAmit Joshi;2001;978-981-10-5508-9.pdf
Advances in Intelligent Systems and Computing II;Prof. Natalia ShakhovskaProf. Volodymyr Stepashko;2008;978-3-319-70581-1.pdf
Software Failure Investigation;Prof. Jan EloffDr. Madeleine Bihina Bella;2004;978-3-319-61334-5.pdf
A Disaggregate Freight Transport Model for Germany;Sascha Reiche;2009;978-3-658-19153-5.pdf
Lean Compendium;Bruno G. Rçœ‰ttimann;2007;978-3-319-58601-4.pdf
Proceedings of SAI Intelligent Systems Conference (IntelliSys) 2016;Dr. Yaxin BiSupriya KapoorRahul Bhatia;2005;978-3-319-56994-9.pdf
A Project-Based Introduction to Computational Statics;Prof. Dr. Andreas è„°chsner;2004;978-3-319-69817-5.pdf
The History of Multiphase Science and Computational Fluid Dynamics;Robert W. Lyczkowski;2007;978-3-319-66502-3.pdf
Hypergraph Theory in Wireless Communication Networks;Hongliang ZhangProf. Lingyang SongDr. Zhu HanYingjun Zhang;2005;978-3-319-60469-5.pdf
Distributed Computing and Artificial Intelligence, 14th International Conference;Sigeru OmatuSara Rodré“†guezGabriel VillarrubiaPedro FariaPaweè‰‚ SitekJavier Prieto;2002;978-3-319-62410-5.pdf
Advances in Feature Selection for Data and Pattern Recognition;Urszula Staè‰…czykBeata ZieloskoLakhmi C. Jain;2006;978-3-319-67588-6.pdf
Vehicle Dynamics;Dieter SchrammManfred HillerRoberto Bardini;2002;978-3-662-54483-9.pdf
Co-utility;Josep Domingo-FerrerDavid Sè°©nchez;2002;978-3-319-60234-9.pdf
Advances in Human Factors and Ergonomics in Healthcare and Medical Devices;Vincent DuffyNancy Lightner;2004;978-3-319-60483-1.pdf
Advanced Biometrics;Prof. David ZhangProf. Dr. Guangming LuProf. Dr. Lei Zhang;2004;978-3-319-61545-5.pdf
Techno-Societal 2016;Prashant M. PawarBabruvahan P. RongeR. BalasubramaniamSridevi Seshabhattar;2007;978-3-319-53556-2.pdf
Mapping, Planning and Exploration with Pose SLAM;Rafael ValenciaJuan Andrade-Cetto;2007;978-3-319-60603-3.pdf
Contactless VLSI Measurement and Testing Techniques;Selahattin Sayil;2004;978-3-319-69673-7.pdf
Multibody Mechatronic Systems;JoèŒ«o Carlos Mendes CarvalhoDaniel MartinsRoberto SimoniHenrique Simas;2001;978-3-319-67567-1.pdf
Quaternary Capped In(Ga)As/GaAs Quantum Dot Infrared Photodetectors;Sourav AdhikaryProf. Dr. Subhananda Chakrabarti;2004;978-981-10-5290-3.pdf
Recycled Aggregate Concrete Structures;Jianzhuang Xiao;2004;978-3-662-53987-3.pdf
Ontology Engineering Applications in Healthcare and Workforce Management Systems;Dr. David E ForbesDr. Pornpit WongthongthamDr. Chamonix TerblancheUdsanee Pakdeetrakulwong;2004;978-3-319-65012-8.pdf
Advances in Cross-Cultural Decision Making;Mark Hoffman;2007;978-3-319-60747-4.pdf
CMOS Integrated Circuit Design for Wireless Power Transfer;Yan LuWing-Hung Ki;2003;978-981-10-2615-7.pdf
Advanced Computational Methods for Knowledge Engineering;Nguyen-Thinh LeTien van DoNgoc Thanh NguyenHoai An Le Thi;2004;978-3-319-61911-8.pdf
Languages, Design Methods, and Tools for Electronic System Design;Franco FummiRobert Wille;2001;978-3-319-62920-9.pdf
Link-Layer Cooperative Communication in Vehicular Networks;Sailesh BharatiWeihua Zhuang;2002;978-3-319-58721-9.pdf
On-line Condition Monitoring in Industrial Lubrication and Tribology;Nikolai K. MyshkinLiubou V. Markova;2007;978-3-319-61134-1.pdf
Business Continuity Management in Construction;Dr. Leni Sagita Riantini SupriadiProf. Low Sui Pheng;2000;978-981-10-5487-7.pdf
Proceedings of 2017 Chinese Intelligent Systems Conference;Prof. Dr. Yingmin JiaProf. Dr. Junping DuWeicun Zhang;2002;978-981-10-6496-8.pdf
Complex Networks & Their Applications VI;Chantal CherifiHocine CherifiMè°©rton KarsaiMirco Musolesi;2008;978-3-319-72150-7.pdf
Silicon Anodization as a Structuring Technique;Alexey Ivanov;2003;978-3-658-19238-9.pdf
Acoustics-A Textbook for Engineers and Physicists;Jerry H. Ginsberg;2008;978-3-319-56847-8.pdf
Synergies Between Knowledge Engineering and Software Engineering;Grzegorz J. NalepaJoachim Baumeister;2008;978-3-319-64161-4.pdf
User-Centric Ultra-Dense Networks for 5G;Shanzhi ChenFei QinProf. Dr. Bo HuXi LiZhonglin ChenJiamin Liu;2002;978-3-319-61201-0.pdf
Durability of Springs;Prof. Dr. Vladimir Kobelev;2008;978-3-319-58478-2.pdf
Strain Gradient Plasticity-Based Modeling of Damage and Fracture;Emilio Marté“†nez Paå¸½eda;2001;978-3-319-63384-8.pdf
Intelligent Distributed Computing XI;Prof. Mirjana Ivanoviè†°Prof. Costin Bè†¬dicè†¬Prof. Jçœ‰rgen DixProf. Zoran Jovanoviè†°Prof. Michele MalgeriProf. Miloæ‹§ Saviè†°;2005;978-3-319-66379-1.pdf
Research on the Radiation Effects and Compact Model of SiGe HBT;Yabin Sun;2002;978-981-10-4612-4.pdf
New Advances in the Internet of Things;Ronald R. YagerJordè°©n Pascual Espada;2004;978-3-319-58190-3.pdf
Industry 4.0: Managing The Digital Transformation;Alp UstundagEmre Cevikcan;2000;978-3-319-57870-5.pdf
